article_id,ground_truth_letters_per_word,ground_truth_words_per_sentence,ground_truth_words_per_text,ground_truth_sentences_per_text,generated_letters_per_word,generated_words_per_sentence,generated_words_per_text,generated_sentences_per_text,generated_LD,ground_truth_LD,generated_LS1,ground_truth_LS1,generated_LS2,ground_truth_LS2,generated_VS1,ground_truth_VS1,generated_VS2,ground_truth_VS2,generated_CVS1,ground_truth_CVS1,generated_T,ground_truth_T,generated_T50,ground_truth_T50,generated_T50S,ground_truth_T50S,generated_T50W,ground_truth_T50W,generated_TTR,ground_truth_TTR,generated_MSTTR,ground_truth_MSTTR,generated_CTTR,ground_truth_CTTR,generated_RTTR,ground_truth_RTTR,generated_LogTTR,ground_truth_LogTTR,generated_Uber,ground_truth_Uber,generated_MATTR,ground_truth_MATTR,generated_HDD,ground_truth_HDD,generated_MTLD,ground_truth_MTLD,generated_MTLD-MA,ground_truth_MTLD-MA,generated_MTLD-bii,ground_truth_MTLD-bii,generated_LV,ground_truth_LV,generated_VV1,ground_truth_VV1,generated_SVV1,ground_truth_SVV1,generated_CVV1,ground_truth_CVV1,generated_CVV2,ground_truth_CVV2,generated_NV,ground_truth_NV,generated_ADJV,ground_truth_ADJV,generated_ADVV,ground_truth_ADVV,generated_MODV,ground_truth_MODV,ground_truth_MLS,ground_truth_MLT,ground_truth_MLC,ground_truth_C/S,ground_truth_VP/T,ground_truth_C/T,ground_truth_DC/C,ground_truth_DC/T,ground_truth_CT/T,ground_truth_CP/T,ground_truth_CP/C,ground_truth_CN/T,ground_truth_CN/C,ground_truth_T/S,generated_MLS,generated_MLT,generated_MLC,generated_C/S,generated_VP/T,generated_C/T,generated_DC/C,generated_DC/T,generated_CT/T,generated_CP/T,generated_CP/C,generated_CN/T,generated_CN/C,generated_T/S
4000241,4.562,26.0,390.0,15.0,4.4497,29.2308,380.0,13.0,0.566,0.615,0.408,0.433,0.482,0.437,0.7,0.623,0.7,0.611,15.68,15.783,193,213,43,43,37.7,39.4,68.1,74.6,0.508,0.546,0.781,0.82,7.001,7.627,9.901,10.786,0.886,0.899,2.954,3.002,0.962,0.975,0.508,0.546,76.0,97.5,76.0,97.5,76.0,113.75,0.749,0.688,0.8,0.783,32.0,42.261,0.8,0.783,0.8,0.783,0.759,0.656,0.714,0.867,0.667,0.6,0.667,0.75,23.933333333333334,10.558823529411764,10.257142857142858,2.3333333333333335,1.088235294117647,1.0294117647058822,0.5714285714285714,0.5882352941176471,0.38235294117647056,0.2647058823529412,0.2571428571428571,0.2647058823529412,0.2571428571428571,2.2666666666666666,26.53846153846154,13.26923076923077,12.777777777777779,2.076923076923077,1.0,1.0384615384615385,0.5185185185185185,0.5384615384615384,0.46153846153846156,0.5,0.48148148148148145,0.038461538461538464,0.037037037037037035,2.0
4000341,5.0462,24.2143,339.0,14.0,4.9324,29.0769,378.0,13.0,0.532,0.549,0.487,0.531,0.484,0.503,0.846,0.74,0.833,0.714,23.558,18.0,190,179,38,36,37.2,39.0,67.4,80.4,0.503,0.528,0.78,0.789,6.91,6.874,9.773,9.722,0.884,0.89,2.946,2.943,0.934,0.927,0.503,0.528,75.6,67.8,75.6,67.8,69.3,67.8,0.746,0.753,0.808,0.84,33.923,35.28,0.808,0.84,0.808,0.84,0.725,0.729,1.0,1.0,1.0,0.6,1.0,0.889,17.0,10.074074074074074,8.0,2.125,0.8888888888888888,1.2592592592592593,0.5294117647058824,0.6666666666666666,0.37037037037037035,0.37037037037037035,0.29411764705882354,0.07407407407407407,0.058823529411764705,1.6875,21.928571428571427,10.233333333333333,9.029411764705882,2.4285714285714284,1.1333333333333333,1.1333333333333333,0.5882352941176471,0.6666666666666666,0.4,0.4,0.35294117647058826,0.03333333333333333,0.029411764705882353,2.142857142857143
4000441,5.7262,20.1579,383.0,19.0,5.3669,22.5294,383.0,17.0,0.621,0.601,0.337,0.446,0.388,0.429,0.379,0.679,0.488,0.688,6.897,8.643,178,203,41,44,39.8,41.4,65.9,71.2,0.465,0.53,0.794,0.801,6.431,7.335,9.095,10.373,0.871,0.893,2.906,2.98,0.968,0.956,0.465,0.53,63.833,76.6,63.833,76.6,63.833,76.6,0.618,0.665,0.707,0.571,28.983,18.286,0.707,0.571,0.707,0.571,0.57,0.687,0.917,0.857,0.667,1.0,0.867,0.875,17.68421052631579,9.882352941176471,10.5,1.6842105263157894,0.7058823529411765,0.9411764705882353,0.40625,0.38235294117647056,0.3235294117647059,0.23529411764705882,0.25,0.35294117647058826,0.375,1.7894736842105263,20.41176470588235,9.914285714285715,11.566666666666666,1.7647058823529411,0.8571428571428571,0.8571428571428571,0.43333333333333335,0.37142857142857144,0.34285714285714286,0.34285714285714286,0.4,0.2,0.23333333333333334,2.0588235294117645
4000541,4.7038,25.8,387.0,15.0,5.0552,21.2778,383.0,18.0,0.546,0.532,0.433,0.429,0.446,0.452,0.68,0.727,0.576,0.739,7.22,21.018,186,210,42,37,38.1,40.1,67.4,72.6,0.486,0.543,0.79,0.792,6.72,7.548,9.504,10.675,0.879,0.897,2.931,2.996,0.959,0.946,0.486,0.543,95.75,64.5,95.75,64.5,86.175,80.625,0.713,0.806,0.66,0.836,21.78,38.473,0.66,0.836,0.66,0.836,0.717,0.835,0.957,0.929,0.556,0.6,0.844,0.792,20.5625,10.612903225806452,9.676470588235293,2.125,0.9032258064516129,1.096774193548387,0.5294117647058824,0.5806451612903226,0.3225806451612903,0.25806451612903225,0.23529411764705882,0.06451612903225806,0.058823529411764705,1.9375,18.333333333333332,12.222222222222221,10.0,1.8333333333333333,0.7777777777777778,1.2222222222222223,0.45454545454545453,0.5555555555555556,0.4444444444444444,0.5185185185185185,0.42424242424242425,0.14814814814814814,0.12121212121212122,1.5
4000641,5.2906,37.2,372.0,10.0,4.7297,26.2667,394.0,15.0,0.548,0.559,0.419,0.487,0.545,0.608,0.744,0.833,0.758,0.833,16.026,17.361,198,204,34,39,35.5,38.9,67.8,68.7,0.503,0.548,0.716,0.758,7.053,7.479,9.975,10.577,0.885,0.898,2.958,2.991,0.918,0.933,0.503,0.548,49.25,62.0,49.25,62.0,49.25,62.0,0.778,0.827,0.846,0.833,27.923,25.0,0.846,0.833,0.846,0.833,0.73,0.813,0.957,0.963,1.0,1.0,0.96,0.97,40.875,19.235294117647058,14.217391304347826,2.875,1.2352941176470589,1.3529411764705883,0.6521739130434783,0.8823529411764706,0.5294117647058824,1.1176470588235294,0.8260869565217391,0.35294117647058826,0.2608695652173913,2.125,23.2,12.0,12.428571428571429,1.8666666666666667,0.896551724137931,0.9655172413793104,0.4642857142857143,0.4482758620689655,0.27586206896551724,0.3793103448275862,0.39285714285714285,0.20689655172413793,0.21428571428571427,1.9333333333333333
4000941,4.2262,17.3478,399.0,23.0,4.1656,19.7222,355.0,18.0,0.513,0.566,0.451,0.496,0.513,0.574,0.812,0.791,0.806,0.782,13.021,27.597,187,209,33,39,35.9,39.1,63.2,72.3,0.527,0.524,0.758,0.765,7.018,7.399,9.925,10.463,0.891,0.892,2.955,2.985,0.949,0.95,0.527,0.524,59.167,79.8,59.167,79.8,59.167,73.15,0.791,0.748,0.646,0.821,20.021,45.149,0.646,0.821,0.646,0.821,0.831,0.708,1.0,0.947,0.0,0.667,1.0,0.909,14.583333333333334,6.60377358490566,8.333333333333334,1.75,0.8113207547169812,0.7924528301886793,0.42857142857142855,0.33962264150943394,0.22641509433962265,0.18867924528301888,0.23809523809523808,0.11320754716981132,0.14285714285714285,2.2083333333333335,17.22222222222222,10.333333333333334,10.333333333333334,1.6666666666666667,0.7666666666666667,1.0,0.4,0.4,0.3333333333333333,0.23333333333333334,0.23333333333333334,0.13333333333333333,0.13333333333333333,1.6666666666666667
4001041,5.2436,24.625,394.0,16.0,5.07,17.8636,393.0,22.0,0.522,0.566,0.351,0.325,0.421,0.348,0.543,0.593,0.608,0.634,13.729,11.458,197,201,39,39,38.9,39.1,69.2,70.5,0.501,0.51,0.757,0.767,7.027,7.16,9.937,10.126,0.884,0.887,2.956,2.966,0.945,0.939,0.501,0.51,65.5,65.667,65.5,65.667,65.5,65.667,0.766,0.7,0.729,0.695,37.157,28.492,0.729,0.695,0.729,0.695,0.805,0.689,0.75,1.0,0.5,0.75,0.682,0.875,22.125,9.833333333333334,10.411764705882353,2.125,0.9722222222222222,0.9444444444444444,0.5294117647058824,0.5,0.3333333333333333,0.6111111111111112,0.6470588235294118,0.08333333333333333,0.08823529411764706,2.25,16.09090909090909,7.866666666666666,9.076923076923077,1.7727272727272727,0.8444444444444444,0.8666666666666667,0.4358974358974359,0.37777777777777777,0.26666666666666666,0.4444444444444444,0.5128205128205128,0.044444444444444446,0.05128205128205128,2.0454545454545454
4001341,5.0848,21.2222,382.0,18.0,5.3051,22.4118,381.0,17.0,0.646,0.586,0.443,0.39,0.557,0.523,0.825,0.744,0.884,0.837,22.921,20.5,158,151,30,32,38.0,36.4,59.3,57.5,0.417,0.395,0.74,0.719,5.739,5.463,8.116,7.726,0.853,0.844,2.842,2.815,0.945,0.928,0.417,0.395,42.111,47.75,42.111,47.75,42.111,47.75,0.539,0.54,0.683,0.598,29.349,29.28,0.683,0.598,0.683,0.598,0.506,0.5,0.458,0.818,0.75,1.0,0.5,0.833,19.22222222222222,8.439024390243903,8.439024390243903,2.2777777777777777,1.1219512195121952,1.0,0.5609756097560976,0.5609756097560976,0.3170731707317073,0.24390243902439024,0.24390243902439024,0.04878048780487805,0.04878048780487805,2.2777777777777777,20.352941176470587,9.885714285714286,9.35135135135135,2.176470588235294,1.0857142857142856,1.0571428571428572,0.5405405405405406,0.5714285714285714,0.4,0.2571428571428571,0.24324324324324326,0.08571428571428572,0.08108108108108109,2.0588235294117645
4001441,5.4224,29.3333,352.0,12.0,5.931,22.9412,390.0,17.0,0.595,0.565,0.395,0.483,0.448,0.491,0.717,0.702,0.7,0.65,14.792,14.383,172,175,36,38,37.1,37.3,63.7,62.4,0.441,0.497,0.751,0.805,6.159,6.596,8.71,9.328,0.863,0.881,2.882,2.92,0.961,0.953,0.441,0.497,65.0,70.4,65.0,70.4,60.357,70.4,0.595,0.678,0.755,0.851,30.189,34.043,0.755,0.851,0.755,0.851,0.5,0.612,1.0,1.0,0.833,0.667,0.947,0.889,29.2,12.695652173913043,11.23076923076923,2.6,1.1304347826086956,1.1304347826086956,0.6153846153846154,0.6956521739130435,0.391304347826087,0.30434782608695654,0.2692307692307692,0.13043478260869565,0.11538461538461539,2.3,20.764705882352942,11.03125,10.382352941176471,2.0,0.96875,1.0625,0.5,0.53125,0.40625,0.21875,0.20588235294117646,0.1875,0.17647058823529413,1.8823529411764706
4001541,4.819,25.6,384.0,15.0,5.2201,24.875,398.0,16.0,0.518,0.573,0.309,0.349,0.431,0.425,0.69,0.596,0.657,0.622,12.595,15.077,181,212,36,37,35.0,42.9,64.4,73.1,0.455,0.552,0.709,0.802,6.415,7.65,9.073,10.819,0.868,0.9,2.905,3.003,0.937,0.957,0.455,0.552,44.222,96.0,44.222,96.0,46.986,96.0,0.752,0.773,0.833,0.865,29.167,38.942,0.833,0.865,0.833,0.865,0.712,0.752,1.0,1.0,1.0,0.5,1.0,0.778,22.866666666666667,10.393939393939394,10.393939393939394,2.2,1.0909090909090908,1.0,0.5454545454545454,0.5454545454545454,0.3333333333333333,0.5757575757575758,0.5757575757575758,0.24242424242424243,0.24242424242424243,2.2,22.5625,10.617647058823529,12.033333333333333,1.875,0.9117647058823529,0.8823529411764706,0.4666666666666667,0.4117647058823529,0.29411764705882354,0.5588235294117647,0.6333333333333333,0.08823529411764706,0.1,2.125
4001741,4.5881,18.8571,396.0,21.0,4.5146,19.85,397.0,20.0,0.559,0.545,0.501,0.449,0.557,0.48,0.877,0.657,0.86,0.735,21.062,18.514,192,202,36,37,37.2,42.4,68.2,70.2,0.484,0.51,0.751,0.752,6.814,7.178,9.636,10.151,0.879,0.887,2.939,2.968,0.959,0.951,0.484,0.51,49.625,66.0,49.625,66.0,57.896,66.0,0.707,0.718,0.662,0.7,28.446,34.3,0.662,0.7,0.662,0.7,0.739,0.731,0.833,0.875,0.857,0.75,0.842,0.812,16.476190476190474,8.871794871794872,6.92,2.380952380952381,1.0512820512820513,1.2820512820512822,0.58,0.7435897435897436,0.41025641025641024,0.1794871794871795,0.14,0.15384615384615385,0.12,1.8571428571428572,17.15,9.026315789473685,8.575,2.0,0.8947368421052632,1.0526315789473684,0.5,0.5263157894736842,0.3157894736842105,0.18421052631578946,0.175,0.05263157894736842,0.05,1.9
4002041,4.8865,27.0714,379.0,14.0,4.6867,23.8667,358.0,15.0,0.57,0.599,0.447,0.467,0.512,0.536,0.609,0.734,0.688,0.827,7.562,28.891,166,209,37,43,39.3,41.7,60.1,72.5,0.464,0.551,0.778,0.811,6.204,7.591,8.773,10.736,0.869,0.9,2.885,2.999,0.967,0.966,0.464,0.551,59.667,94.75,59.667,94.75,59.667,94.75,0.652,0.709,0.5,0.812,16.0,42.25,0.5,0.812,0.5,0.812,0.73,0.671,0.818,0.923,0.429,0.857,0.724,0.9,21.25,10.625,10.0,2.125,0.9375,1.0625,0.5294117647058824,0.5625,0.375,0.15625,0.14705882352941177,0.1875,0.17647058823529413,2.0,21.266666666666666,14.5,10.290322580645162,2.066666666666667,0.8636363636363636,1.4090909090909092,0.5161290322580645,0.7272727272727273,0.5454545454545454,0.36363636363636365,0.25806451612903225,0.3181818181818182,0.22580645161290322,1.4666666666666666
