article_id,source,label,letters_per_word,words_per_sentence,words_per_text,sentences_per_text,LD,LS1,LS2,VS1,VS2,CVS1,T,T50,T50S,T50W,TTR,MSTTR,CTTR,RTTR,LogTTR,Uber,MATTR,HDD,MTLD,MTLD-MA,MTLD-bii,LV,VV1,SVV1,CVV1,CVV2,NV,ADJV,ADVV,MODV,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,CT/T,CP/T,CP/C,CN/T,CN/C,T/S
4000241,human,0,4.562,26,390,15,0.615,0.433,0.437,0.623,0.611,15.783,213,43,39.4,74.6,0.546,0.82,7.627,10.786,0.899,3.002,0.975,0.546,97.5,97.5,113.75,0.688,0.783,42.261,0.783,0.783,0.656,0.867,0.6,0.75,23.93333333,10.55882353,10.25714286,2.333333333,1.088235294,1.029411765,0.571428571,0.588235294,0.382352941,0.264705882,0.257142857,0.264705882,0.257142857,2.266666667
4000241,ai,1,4.4497,29.2308,380,13,0.566,0.408,0.482,0.7,0.7,15.68,193,43,37.7,68.1,0.508,0.781,7.001,9.901,0.886,2.954,0.962,0.508,76,76,76,0.749,0.8,32,0.8,0.8,0.759,0.714,0.667,0.667,26.53846154,13.26923077,12.77777778,2.076923077,1,1.038461538,0.518518519,0.538461538,0.461538462,0.5,0.481481481,0.038461538,0.037037037,2
4000341,human,0,5.0462,24.2143,339,14,0.549,0.531,0.503,0.74,0.714,18,179,36,39,80.4,0.528,0.789,6.874,9.722,0.89,2.943,0.927,0.528,67.8,67.8,67.8,0.753,0.84,35.28,0.84,0.84,0.729,1,0.6,0.889,17,10.07407407,8,2.125,0.888888889,1.259259259,0.529411765,0.666666667,0.37037037,0.37037037,0.294117647,0.074074074,0.058823529,1.6875
4000341,ai,1,4.9324,29.0769,378,13,0.532,0.487,0.484,0.846,0.833,23.558,190,38,37.2,67.4,0.503,0.78,6.91,9.773,0.884,2.946,0.934,0.503,75.6,75.6,69.3,0.746,0.808,33.923,0.808,0.808,0.725,1,1,1,21.92857143,10.23333333,9.029411765,2.428571429,1.133333333,1.133333333,0.588235294,0.666666667,0.4,0.4,0.352941176,0.033333333,0.029411765,2.142857143
4000441,human,0,5.7262,20.1579,383,19,0.601,0.446,0.429,0.679,0.688,8.643,203,44,41.4,71.2,0.53,0.801,7.335,10.373,0.893,2.98,0.956,0.53,76.6,76.6,76.6,0.665,0.571,18.286,0.571,0.571,0.687,0.857,1,0.875,17.68421053,9.882352941,10.5,1.684210526,0.705882353,0.941176471,0.40625,0.382352941,0.323529412,0.235294118,0.25,0.352941176,0.375,1.789473684
4000441,ai,1,5.3669,22.5294,383,17,0.621,0.337,0.388,0.379,0.488,6.897,178,41,39.8,65.9,0.465,0.794,6.431,9.095,0.871,2.906,0.968,0.465,63.833,63.833,63.833,0.618,0.707,28.983,0.707,0.707,0.57,0.917,0.667,0.867,20.41176471,9.914285714,11.56666667,1.764705882,0.857142857,0.857142857,0.433333333,0.371428571,0.342857143,0.342857143,0.4,0.2,0.233333333,2.058823529
4000541,human,0,4.7038,25.8,387,15,0.532,0.429,0.452,0.727,0.739,21.018,210,37,40.1,72.6,0.543,0.792,7.548,10.675,0.897,2.996,0.946,0.543,64.5,64.5,80.625,0.806,0.836,38.473,0.836,0.836,0.835,0.929,0.6,0.792,20.5625,10.61290323,9.676470588,2.125,0.903225806,1.096774194,0.529411765,0.580645161,0.322580645,0.258064516,0.235294118,0.064516129,0.058823529,1.9375
4000541,ai,1,5.0552,21.2778,383,18,0.546,0.433,0.446,0.68,0.576,7.22,186,42,38.1,67.4,0.486,0.79,6.72,9.504,0.879,2.931,0.959,0.486,95.75,95.75,86.175,0.713,0.66,21.78,0.66,0.66,0.717,0.957,0.556,0.844,18.33333333,12.22222222,10,1.833333333,0.777777778,1.222222222,0.454545455,0.555555556,0.444444444,0.518518519,0.424242424,0.148148148,0.121212121,1.5
4000641,human,0,5.2906,37.2,372,10,0.559,0.487,0.608,0.833,0.833,17.361,204,39,38.9,68.7,0.548,0.758,7.479,10.577,0.898,2.991,0.933,0.548,62,62,62,0.827,0.833,25,0.833,0.833,0.813,0.963,1,0.97,40.875,19.23529412,14.2173913,2.875,1.235294118,1.352941176,0.652173913,0.882352941,0.529411765,1.117647059,0.826086957,0.352941176,0.260869565,2.125
4000641,ai,1,4.7297,26.2667,394,15,0.548,0.419,0.545,0.744,0.758,16.026,198,34,35.5,67.8,0.503,0.716,7.053,9.975,0.885,2.958,0.918,0.503,49.25,49.25,49.25,0.778,0.846,27.923,0.846,0.846,0.73,0.957,1,0.96,23.2,12,12.42857143,1.866666667,0.896551724,0.965517241,0.464285714,0.448275862,0.275862069,0.379310345,0.392857143,0.206896552,0.214285714,1.933333333
